** CONVERTED FROM ss00r01.edf using edfapi 4.2.762.0 Linux   standalone Jul 20 2023 on Thu Oct 17 13:11:11 2024
** DATE: Sat Oct 12 03:26:32 2024
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.51 Mar 13 2010
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BH9
** SERIAL NUMBER: CLO-ZAD17
** CAMERA_CONFIG: ZAD17140.SCD
**

MSG	1207252 DISPLAY_COORDS  0 0 1919 1079
MSG	1207264 RECCFG CR 1000 1 1 L
MSG	1207264 ELCLCFG TOWER
MSG	1207264 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	1207264 THRESHOLDS L 58 218
MSG	1207264 ELCL_PROC ELLIPSE  (5)
MSG	1207264 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	1207265 !MODE RECORD CR 1000 1 1 L
START	1207266 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
1207439	   .	   .	    0.0	...
1207440	   .	   .	    0.0	...
1207441	   .	   .	    0.0	...
1207442	   .	   .	    0.0	...
1207443	   .	   .	    0.0	...
1207444	   .	   .	    0.0	...
1207445	   .	   .	    0.0	...
1207446	   .	   .	    0.0	...
1207447	   .	   .	    0.0	...
1207448	   .	   .	    0.0	...
1207449	   .	   .	    0.0	...
1207450	   .	   .	    0.0	...
1207451	   .	   .	    0.0	...
1207452	   .	   .	    0.0	...
1207453	   .	   .	    0.0	...
1207454	   .	   .	    0.0	...
1207455	   .	   .	    0.0	...
1207456	   .	   .	    0.0	...
1207457	   .	   .	    0.0	...
1207458	   .	   .	    0.0	...
1207459	   .	   .	    0.0	...
1207460	   .	   .	    0.0	...
1207461	   .	   .	    0.0	...
1207462	   .	   .	    0.0	...
1207463	   .	   .	    0.0	...
1207464	   .	   .	    0.0	...
1207465	   .	   .	    0.0	...
1207466	   .	   .	    0.0	...
1207467	   .	   .	    0.0	...
1207468	   .	   .	    0.0	...
1207469	   .	   .	    0.0	...
1207470	   .	   .	    0.0	...
1207471	   .	   .	    0.0	...
1207472	   .	   .	    0.0	...
1207473	   .	   .	    0.0	...
1207474	   .	   .	    0.0	...
1207475	   .	   .	    0.0	...
1207476	   .	   .	    0.0	...
1207477	   .	   .	    0.0	...
1207478	   .	   .	    0.0	...
